ID,CODE,VEHICLE_CLASS
2180,2180,BUS
3810,3810,BUS
2182,2182,BUS
3812,3812,BUS
2184,2184,BUS
3814,3814,BUS
2186,2186,BUS
2188,2188,BUS
2190,2190,BUS
2192,2192,BUS
2194,2194,BUS
3824,3824,BUS
2196,2196,BUS
2198,2198,BUS
2200,2200,BUS
3830,3830,BUS
2202,2202,BUS
2204,2204,BUS
2206,2206,BUS
2208,2208,BUS
2210,2210,BUS
2212,2212,BUS
3842,3842,BUS
2214,2214,BUS
3844,3844,BUS
2216,2216,BUS
3846,3846,BUS
1402,1402,BUS
2218,2218,BUS
3848,3848,BUS
1404,1404,BUS
2220,2220,BUS
3850,3850,BUS
1406,1406,BUS
2222,2222,BUS
1408,1408,BUS
2224,2224,BUS
2226,2226,BUS
3856,3856,BUS
2228,2228,BUS
2230,2230,BUS
2232,2232,BUS
2234,2234,BUS
2236,2236,BUS
2238,2238,BUS
2240,2240,BUS
2242,2242,BUS
2244,2244,BUS
2246,2246,BUS
3876,3876,BUS
3878,3878,BUS
2248,2248,BUS
3880,3880,BUS
2250,2250,BUS
2252,2252,BUS
2254,2254,BUS
2256,2256,BUS
2258,2258,BUS
2260,2260,BUS
2262,2262,BUS
2264,2264,BUS
2266,2266,BUS
2268,2268,BUS
2270,2270,BUS
3902,3902,BUS
2272,2272,BUS
3904,3904,BUS
2274,2274,BUS
3906,3906,BUS
2276,2276,BUS
3908,3908,BUS
2278,2278,BUS
3910,3910,BUS
2280,2280,BUS
3912,3912,BUS
3914,3914,BUS
2284,2284,BUS
3916,3916,BUS
2286,2286,BUS
3918,3918,BUS
2288,2288,BUS
2290,2290,BUS
3922,3922,BUS
2292,2292,BUS
3924,3924,BUS
2294,2294,BUS
2296,2296,BUS
3928,3928,BUS
2298,2298,BUS
3930,3930,BUS
2300,2300,BUS
3932,3932,BUS
3934,3934,BUS
3936,3936,BUS
3938,3938,BUS
3940,3940,BUS
3942,3942,BUS
3944,3944,BUS
3946,3946,BUS
3948,3948,BUS
3950,3950,BUS
3952,3952,BUS
3954,3954,BUS
3956,3956,BUS
3958,3958,BUS
3960,3960,BUS
3962,3962,BUS
3964,3964,BUS
3966,3966,BUS
3968,3968,BUS
3970,3970,BUS
3972,3972,BUS
3974,3974,BUS
3976,3976,BUS
1602,1602,BUS
1604,1604,BUS
1000131,LRV242,LRV
5134,5134,BUS
1000132,LRV244,LRV
9210,9210,BUS
5136,5136,BUS
9212,9212,BUS
5138,5138,BUS
1000134,LRV248,LRV
9214,9214,BUS
5140,5140,BUS
1000135,LRV250,LRV
9216,9216,BUS
5142,5142,BUS
1000136,LRV252,LRV
9218,9218,BUS
5144,5144,BUS
1000137,LRV254,LRV
5146,5146,BUS
1000138,LRV256,LRV
2702,2702,BUS
5148,5148,BUS
1000139,LRV258,LRV
2704,2704,BUS
5150,5150,BUS
1000140,LRV260,LRV
2706,2706,BUS
5152,5152,BUS
1000141,LRV262,LRV
5154,5154,BUS
1000142,LRV264,LRV
5156,5156,BUS
1000143,LRV266,LRV
5158,5158,BUS
1000144,LRV268,LRV
5160,5160,BUS
1000145,LRV270,LRV
1902,1902,BUS
5162,5162,BUS
1000146,LRV272,LRV
1904,1904,BUS
5164,5164,BUS
1000147,LRV274,LRV
1906,1906,BUS
5166,5166,BUS
1000148,LRV276,LRV
1908,1908,BUS
5168,5168,BUS
1000149,LRV278,LRV
1910,1910,BUS
5170,5170,BUS
1000150,LRV280,LRV
1912,1912,BUS
5172,5172,BUS
1000151,LRV282,LRV
1914,1914,BUS
5174,5174,BUS
1000152,LRV284,LRV
1916,1916,BUS
5176,5176,BUS
1000153,LRV286,LRV
1918,1918,BUS
5178,5178,BUS
1000154,LRV288,LRV
1920,1920,BUS
5180,5180,BUS
1000155,LRV290,LRV
1922,1922,BUS
5182,5182,BUS
1000156,LRV292,LRV
1924,1924,BUS
5184,5184,BUS
1000157,LRV294,LRV
1926,1926,BUS
5186,5186,BUS
1000158,LRV296,LRV
1928,1928,BUS
5188,5188,BUS
1000159,LRV298,LRV
1930,1930,BUS
5190,5190,BUS
1000160,LRV300,LRV
1932,1932,BUS
5192,5192,BUS
1000161,LRV302,LRV
1934,1934,BUS
5194,5194,BUS
1000162,LRV304,LRV
5196,5196,BUS
1000163,LRV306,LRV
5198,5198,BUS
1000164,LRV308,LRV
1940,1940,BUS
5200,5200,BUS
1000165,LRV310,LRV
1942,1942,BUS
5202,5202,BUS
1000166,LRV312,LRV
5204,5204,BUS
1000167,LRV314,LRV
5206,5206,BUS
1000168,LRV316,LRV
3953,3953,BUS
3955,3955,BUS
3957,3957,BUS
3959,3959,BUS
3961,3961,BUS
3963,3963,BUS
3965,3965,BUS
3969,3969,BUS
3971,3971,BUS
3973,3973,BUS
3975,3975,BUS
941,941,BUS
943,943,BUS
945,945,BUS
9101,9101,BUS
947,947,BUS
9103,9103,BUS
949,949,BUS
9105,9105,BUS
951,951,BUS
9107,9107,BUS
953,953,BUS
9109,9109,BUS
9111,9111,BUS
9113,9113,BUS
9115,9115,BUS
9117,9117,BUS
9119,9119,BUS
9121,9121,BUS
9123,9123,BUS
9125,9125,BUS
9127,9127,BUS
9129,9129,BUS
9131,9131,BUS
9133,9133,BUS
9135,9135,BUS
9137,9137,BUS
9139,9139,BUS
9141,9141,BUS
9143,9143,BUS
9145,9145,BUS
9147,9147,BUS
9149,9149,BUS
9151,9151,BUS
9153,9153,BUS
9155,9155,BUS
9157,9157,BUS
9159,9159,BUS
9161,9161,BUS
9165,9165,BUS
9167,9167,BUS
9169,9169,BUS
9171,9171,BUS
9173,9173,BUS
9177,9177,BUS
9179,9179,BUS
9181,9181,BUS
9183,9183,BUS
9185,9185,BUS
9187,9187,BUS
9191,9191,BUS
9193,9193,BUS
9195,9195,BUS
9197,9197,BUS
9199,9199,BUS
9203,9203,BUS
9205,9205,BUS
9207,9207,BUS
9211,9211,BUS
9213,9213,BUS
9215,9215,BUS
9217,9217,BUS
9219,9219,BUS
2701,2701,BUS
2703,2703,BUS
2705,2705,BUS
2801,2801,BUS
2803,2803,BUS
2805,2805,BUS
2807,2807,BUS
2809,2809,BUS
2811,2811,BUS
2813,2813,BUS
2815,2815,BUS
2817,2817,BUS
2819,2819,BUS
2821,2821,BUS
2823,2823,BUS
2825,2825,BUS
2827,2827,BUS
2829,2829,BUS
2831,2831,BUS
2833,2833,BUS
2835,2835,BUS
2837,2837,BUS
2839,2839,BUS
2841,2841,BUS
2843,2843,BUS
2845,2845,BUS
2847,2847,BUS
2849,2849,BUS
2851,2851,BUS
2853,2853,BUS
2855,2855,BUS
2857,2857,BUS
2859,2859,BUS
2861,2861,BUS
2863,2863,BUS
2865,2865,BUS
2867,2867,BUS
2869,2869,BUS
2871,2871,BUS
2873,2873,BUS
2875,2875,BUS
2877,2877,BUS
2879,2879,BUS
2881,2881,BUS
2883,2883,BUS
2885,2885,BUS
1401,1401,BUS
1403,1403,BUS
1405,1405,BUS
1407,1407,BUS
1409,1409,BUS
1601,1601,BUS
1603,1603,BUS
1605,1605,BUS
1607,1607,BUS
1609,1609,BUS
1611,1611,BUS
1613,1613,BUS
1615,1615,BUS
1617,1617,BUS
1619,1619,BUS
1621,1621,BUS
1623,1623,BUS
1625,1625,BUS
1627,1627,BUS
1629,1629,BUS
2282,2282,BUS
3920,3920,BUS
3926,3926,BUS
2302,2302,BUS
5133,5133,BUS
1000047,LRV245,LRV
1000050,LRV251,LRV
1000053,LRV257,LRV
1000056,LRV263,LRV
1000059,LRV269,LRV
2097,2097,BUS
2109,2109,BUS
2123,2123,BUS
2135,2135,BUS
2149,2149,BUS
1000123,LRV226,LRV
1000125,LRV230,LRV
1000127,LRV234,LRV
9204,9204,BUS
9208,9208,BUS
1000133,LRV246,LRV
2004,2004,BUS
2010,2010,BUS
2016,2016,BUS
2838,2838,BUS
2844,2844,BUS
2036,2036,BUS
9163,9163,BUS
9175,9175,BUS
9189,9189,BUS
9201,9201,BUS
1024649,TEST1,Supervisor
1024650,TEST2,Supervisor
1024659,TEST,
1948,1948,BUS
5208,5208,BUS
1000169,LRV318,LRV
1950,1950,BUS
5210,5210,BUS
1000170,LRV320,LRV
1952,1952,BUS
5212,5212,BUS
1000171,LRV322,LRV
1954,1954,BUS
5214,5214,BUS
1000172,LRV324,LRV
5216,5216,BUS
1958,1958,BUS
5218,5218,BUS
1960,1960,BUS
5220,5220,BUS
1962,1962,BUS
5222,5222,BUS
1964,1964,BUS
5224,5224,BUS
1966,1966,BUS
5226,5226,BUS
1968,1968,BUS
5228,5228,BUS
1970,1970,BUS
5230,5230,BUS
5232,5232,BUS
5234,5234,BUS
5236,5236,BUS
5238,5238,BUS
5240,5240,BUS
5242,5242,BUS
5244,5244,BUS
5246,5246,BUS
2802,2802,BUS
5248,5248,BUS
2804,2804,BUS
5250,5250,BUS
2806,2806,BUS
1992,1992,BUS
5252,5252,BUS
2808,2808,BUS
1994,1994,BUS
5254,5254,BUS
2810,2810,BUS
1996,1996,BUS
5256,5256,BUS
2812,2812,BUS
5258,5258,BUS
2814,2814,BUS
5260,5260,BUS
2816,2816,BUS
2002,2002,BUS
5262,5262,BUS
2818,2818,BUS
5264,5264,BUS
2820,2820,BUS
2006,2006,BUS
2822,2822,BUS
2008,2008,BUS
2824,2824,BUS
2826,2826,BUS
2012,2012,BUS
2828,2828,BUS
2014,2014,BUS
2830,2830,BUS
2832,2832,BUS
2018,2018,BUS
2834,2834,BUS
2020,2020,BUS
2836,2836,BUS
2022,2022,BUS
2024,2024,BUS
2840,2840,BUS
2026,2026,BUS
2842,2842,BUS
2028,2028,BUS
2030,2030,BUS
2846,2846,BUS
2032,2032,BUS
2848,2848,BUS
2034,2034,BUS
2850,2850,BUS
2852,2852,BUS
2038,2038,BUS
2854,2854,BUS
2155,2155,BUS
2157,2157,BUS
2159,2159,BUS
2161,2161,BUS
2163,2163,BUS
2165,2165,BUS
2167,2167,BUS
2169,2169,BUS
3801,3801,BUS
2171,2171,BUS
2173,2173,BUS
2175,2175,BUS
3807,3807,BUS
2177,2177,BUS
3809,3809,BUS
2179,2179,BUS
3811,3811,BUS
2181,2181,BUS
3813,3813,BUS
2183,2183,BUS
3815,3815,BUS
2185,2185,BUS
2187,2187,BUS
2189,2189,BUS
2191,2191,BUS
2193,2193,BUS
2195,2195,BUS
2197,2197,BUS
3829,3829,BUS
2199,2199,BUS
3831,3831,BUS
2201,2201,BUS
3833,3833,BUS
2203,2203,BUS
2205,2205,BUS
2207,2207,BUS
2209,2209,BUS
2211,2211,BUS
2213,2213,BUS
3845,3845,BUS
2215,2215,BUS
3847,3847,BUS
2217,2217,BUS
3849,3849,BUS
2219,2219,BUS
3851,3851,BUS
2221,2221,BUS
2223,2223,BUS
2225,2225,BUS
2227,2227,BUS
2229,2229,BUS
2231,2231,BUS
2233,2233,BUS
2235,2235,BUS
2237,2237,BUS
2239,2239,BUS
2241,2241,BUS
2243,2243,BUS
3875,3875,BUS
2245,2245,BUS
3877,3877,BUS
2247,2247,BUS
2249,2249,BUS
2251,2251,BUS
2253,2253,BUS
3885,3885,BUS
2255,2255,BUS
2257,2257,BUS
2259,2259,BUS
2261,2261,BUS
2263,2263,BUS
2265,2265,BUS
2267,2267,BUS
2269,2269,BUS
3901,3901,BUS
2271,2271,BUS
3903,3903,BUS
2273,2273,BUS
3905,3905,BUS
2275,2275,BUS
3907,3907,BUS
2277,2277,BUS
3909,3909,BUS
2279,2279,BUS
3911,3911,BUS
2281,2281,BUS
3913,3913,BUS
2283,2283,BUS
3915,3915,BUS
2285,2285,BUS
3917,3917,BUS
2287,2287,BUS
3919,3919,BUS
2289,2289,BUS
3921,3921,BUS
2291,2291,BUS
3923,3923,BUS
2293,2293,BUS
3925,3925,BUS
2295,2295,BUS
3927,3927,BUS
2297,2297,BUS
3929,3929,BUS
2299,2299,BUS
3931,3931,BUS
2301,2301,BUS
3933,3933,BUS
2303,2303,BUS
3935,3935,BUS
3937,3937,BUS
3939,3939,BUS
3941,3941,BUS
3943,3943,BUS
3945,3945,BUS
3947,3947,BUS
3949,3949,BUS
3951,3951,BUS
2081,2081,BUS
2083,2083,BUS
2085,2085,BUS
2087,2087,BUS
2089,2089,BUS
2091,2091,BUS
2093,2093,BUS
2095,2095,BUS
2099,2099,BUS
2101,2101,BUS
2103,2103,BUS
2105,2105,BUS
2107,2107,BUS
2111,2111,BUS
2113,2113,BUS
2115,2115,BUS
2117,2117,BUS
2119,2119,BUS
2121,2121,BUS
2125,2125,BUS
2127,2127,BUS
2129,2129,BUS
2131,2131,BUS
2133,2133,BUS
2137,2137,BUS
2139,2139,BUS
2141,2141,BUS
2143,2143,BUS
2145,2145,BUS
2147,2147,BUS
2151,2151,BUS
2153,2153,BUS
1630,1630,BUS
1632,1632,BUS
1634,1634,BUS
1636,1636,BUS
1640,1640,BUS
1000087,LRV102,LRV
1000088,LRV104,LRV
1000089,LRV106,LRV
1000090,LRV108,LRV
1000091,LRV110,LRV
5002,5002,BUS
1000092,LRV112,LRV
5004,5004,BUS
1000093,LRV114,LRV
1000094,LRV116,LRV
5008,5008,BUS
1000095,LRV118,LRV
5010,5010,BUS
1000096,LRV120,LRV
5012,5012,BUS
1000097,LRV122,LRV
5014,5014,BUS
1000098,LRV124,LRV
940,940,BUS
5016,5016,BUS
1000099,LRV126,LRV
942,942,BUS
5018,5018,BUS
1000100,LRV128,LRV
944,944,BUS
5020,5020,BUS
1000101,LRV130,LRV
946,946,BUS
5022,5022,BUS
1000102,LRV132,LRV
948,948,BUS
5024,5024,BUS
1000103,LRV134,LRV
950,950,BUS
5026,5026,BUS
1000104,LRV136,LRV
9102,9102,BUS
952,952,BUS
5028,5028,BUS
1000105,LRV138,LRV
9104,9104,BUS
5030,5030,BUS
1000106,LRV140,LRV
9106,9106,BUS
5032,5032,BUS
1000107,LRV142,LRV
9108,9108,BUS
5034,5034,BUS
1000108,LRV144,LRV
9110,9110,BUS
5036,5036,BUS
1000109,LRV146,LRV
9112,9112,BUS
5038,5038,BUS
1000110,LRV148,LRV
9114,9114,BUS
5040,5040,BUS
9116,9116,BUS
5042,5042,BUS
9118,9118,BUS
5044,5044,BUS
9120,9120,BUS
5046,5046,BUS
9122,9122,BUS
5048,5048,BUS
9124,9124,BUS
5050,5050,BUS
9126,9126,BUS
5052,5052,BUS
9128,9128,BUS
5054,5054,BUS
9130,9130,BUS
5056,5056,BUS
9132,9132,BUS
5058,5058,BUS
9134,9134,BUS
5060,5060,BUS
9136,9136,BUS
5062,5062,BUS
9138,9138,BUS
5064,5064,BUS
9140,9140,BUS
5066,5066,BUS
9142,9142,BUS
5068,5068,BUS
9144,9144,BUS
5070,5070,BUS
9146,9146,BUS
5072,5072,BUS
9148,9148,BUS
5074,5074,BUS
9150,9150,BUS
5076,5076,BUS
9152,9152,BUS
5078,5078,BUS
9154,9154,BUS
5080,5080,BUS
9156,9156,BUS
5082,5082,BUS
9158,9158,BUS
5084,5084,BUS
9160,9160,BUS
5086,5086,BUS
9162,9162,BUS
5088,5088,BUS
9164,9164,BUS
5090,5090,BUS
9166,9166,BUS
5092,5092,BUS
1000111,LRV202,LRV
9168,9168,BUS
5094,5094,BUS
1000112,LRV204,LRV
9170,9170,BUS
5096,5096,BUS
1000113,LRV206,LRV
9172,9172,BUS
5098,5098,BUS
1000114,LRV208,LRV
9174,9174,BUS
5100,5100,BUS
1000115,LRV210,LRV
9176,9176,BUS
5102,5102,BUS
1000116,LRV212,LRV
9178,9178,BUS
5104,5104,BUS
1000117,LRV214,LRV
9180,9180,BUS
5106,5106,BUS
1000118,LRV216,LRV
9182,9182,BUS
5108,5108,BUS
1000119,LRV218,LRV
9184,9184,BUS
5110,5110,BUS
1000120,LRV220,LRV
9186,9186,BUS
5112,5112,BUS
1000121,LRV222,LRV
9188,9188,BUS
5114,5114,BUS
1000122,LRV224,LRV
9190,9190,BUS
5116,5116,BUS
9192,9192,BUS
5118,5118,BUS
1000124,LRV228,LRV
9194,9194,BUS
5120,5120,BUS
9196,9196,BUS
5122,5122,BUS
1000126,LRV232,LRV
9198,9198,BUS
5124,5124,BUS
9200,9200,BUS
5126,5126,BUS
1000128,LRV236,LRV
9202,9202,BUS
5128,5128,BUS
1000129,LRV238,LRV
5130,5130,BUS
1000130,LRV240,LRV
9206,9206,BUS
5132,5132,BUS
1024745,T267,
1024746,V97,
1024764,V91,
1024780,4522594,
1024764,V91,SUPPORT VEH
1024746,V97,SUPPORT VEH
1024745,T267,SUPPORT VEH
1060720,9795840,
5002,5002,BUS
5004,5004,BUS
5008,5008,BUS
5010,5010,BUS
5012,5012,BUS
5014,5014,BUS
940,940,BUS
5016,5016,BUS
942,942,BUS
5018,5018,BUS
944,944,BUS
5020,5020,BUS
946,946,BUS
5022,5022,BUS
948,948,BUS
5024,5024,BUS
950,950,BUS
5026,5026,BUS
9102,9102,BUS
952,952,BUS
5028,5028,BUS
9104,9104,BUS
5030,5030,BUS
9106,9106,BUS
5032,5032,BUS
9108,9108,BUS
5034,5034,BUS
9110,9110,BUS
5036,5036,BUS
9112,9112,BUS
5038,5038,BUS
9114,9114,BUS
5040,5040,BUS
9116,9116,BUS
5042,5042,BUS
9118,9118,BUS
5044,5044,BUS
9120,9120,BUS
5046,5046,BUS
9122,9122,BUS
5048,5048,BUS
9124,9124,BUS
5050,5050,BUS
9126,9126,BUS
5052,5052,BUS
9128,9128,BUS
5054,5054,BUS
9130,9130,BUS
5056,5056,BUS
9132,9132,BUS
5058,5058,BUS
9134,9134,BUS
5060,5060,BUS
9136,9136,BUS
5062,5062,BUS
9138,9138,BUS
5064,5064,BUS
9140,9140,BUS
5066,5066,BUS
9142,9142,BUS
5068,5068,BUS
9144,9144,BUS
5070,5070,BUS
9146,9146,BUS
5072,5072,BUS
9148,9148,BUS
5074,5074,BUS
9150,9150,BUS
5076,5076,BUS
9152,9152,BUS
5078,5078,BUS
9154,9154,BUS
5080,5080,BUS
9156,9156,BUS
5082,5082,BUS
9158,9158,BUS
5084,5084,BUS
5086,5086,BUS
9162,9162,BUS
5088,5088,BUS
5090,5090,BUS
9166,9166,BUS
5092,5092,BUS
5094,5094,BUS
9170,9170,BUS
5096,5096,BUS
9172,9172,BUS
5098,5098,BUS
9174,9174,BUS
9176,9176,BUS
2250,2250,BUS
2252,2252,BUS
2256,2256,BUS
2258,2258,BUS
2260,2260,BUS
2264,2264,BUS
2266,2266,BUS
2268,2268,BUS
2270,2270,BUS
3902,3902,BUS
2272,2272,BUS
3904,3904,BUS
2274,2274,BUS
3906,3906,BUS
2276,2276,BUS
3908,3908,BUS
2278,2278,BUS
3910,3910,BUS
2280,2280,BUS
3912,3912,BUS
2282,2282,BUS
3914,3914,BUS
2284,2284,BUS
3916,3916,BUS
2286,2286,BUS
3918,3918,BUS
2288,2288,BUS
3920,3920,BUS
2290,2290,BUS
3922,3922,BUS
2292,2292,BUS
3924,3924,BUS
2294,2294,BUS
3926,3926,BUS
2296,2296,BUS
3928,3928,BUS
2298,2298,BUS
3930,3930,BUS
2300,2300,BUS
3932,3932,BUS
2302,2302,BUS
3934,3934,BUS
3936,3936,BUS
3938,3938,BUS
3940,3940,BUS
3942,3942,BUS
3944,3944,BUS
3946,3946,BUS
3948,3948,BUS
3950,3950,BUS
3952,3952,BUS
3954,3954,BUS
3956,3956,BUS
3958,3958,BUS
3960,3960,BUS
3962,3962,BUS
3964,3964,BUS
3966,3966,BUS
3968,3968,BUS
3970,3970,BUS
