"Date","TimeVideo","updateLat","updateLon","Description","Route","direction","Vehicle","Passenger_Count"
2016-08-20,18:39:00,44.9484244,-93.2740655,"Falls, bumps, etc. - bus running straight",21,"Westbound","1245",0
2017-03-12,12:03:00,44.9859517,-93.2849814,"With fixed objects",675,"Garage","1643",0
2017-12-05,15:49:00,44.9555268,-93.2752372,"Sideswipe - bus passing other vehicle (moving/standing/double parked)",11,NA,"7117",NA
2018-05-03,14:55:00,44.96274,-93.25583,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",2,"Westbound","1725",NA
2017-11-10,12:40:00,44.96038,-93.2932,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",6,NA,"1336",15
2017-11-18,14:11:00,44.9484,-93.28311,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",21,"Westbound","1726",5
2017-10-21,15:03:00,44.9484,-93.23898,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",21,"Eastbound","1716",10
2017-08-08,16:31:00,44.9736694,-93.2288889,"Bus hits vehicle (includes bus backing or rolling back, except #46)",2,"Eastbound","1726",NA
2018-03-01,07:44:00,44.91978,-93.25624,"Vehicle hits bus standing in zone (except #11)",46,NA,"1336",20
2017-12-19,10:42:00,44.94608,-93.27815,"With fixed objects",9,NA,"1177",0
2018-04-29,14:49:00,44.94829,-93.23912,"Passenger falls or injuries on/near lift",21,NA,"1724",15
2016-04-16,15:13:00,44.9483316,-93.2324911,"Struck by doors - boarding",21,"Eastbound","7322",0
2018-01-18,17:22:00,44.94874,-93.2766,"Falls, bumps, etc. - bus starting",18,NA,"7329",25
2017-09-02,14:52:00,44.9797727,-93.2724045,"Falls, bumps, etc. - bus starting",11,NA,"7157",NA
2018-04-29,18:19:00,44.98087,-93.30202,"Falls, bumps, etc. - bus stopping",9,NA,"1437",NA
2018-04-20,21:23:00,44.96654,-93.27268,"Falls, bumps, etc. - bus stopping",2,"Eastbound","1725",20
2017-02-22,18:40:00,44.951904,-93.2717806,"Falls, bumps, etc. - bus stopping",11,"Eastbound","7325",NA
2017-06-01,21:22:00,44.9626716,-93.278043,"Falls, bumps, etc. - bus stopping",2,NA,"7168",10
2018-02-16,18:38:00,44.87104,-93.33049,"Falls, bumps, etc. - bus running straight",2,"Eastbound","1556",15
2016-11-29,17:34:00,44.9495301,-93.0845074,"Bike falls off bike rack",22,"Northbound","1531",NA
2017-03-25,13:33:00,45.0082338,-93.2876539,"With fixed objects",22,"Southbound","1662",20
2017-01-06,06:44:00,44.9571826,-93.2473109,"Falls boarding",22,"Northbound","1658",10
2017-01-05,07:22:00,45.104001,-93.301527,"Falls, bumps, etc. - bus stopping",850,"Southbound","3432",NA
2016-08-08,16:44:00,45.0237987,-93.2956486,"Falls, bumps, etc. - bus stopping",5,NA,"1536",NA
2017-10-07,01:18:00,44.9704,-93.26662,"Left turn - other vehicle from left",9,"Southbound","1708",10
2017-10-07,01:18:00,44.9681,-93.26763,"Left turn - other vehicle from left",9,"Southbound","1708",10
2017-01-27,16:27:00,45.0642542,-93.1861377,"Collision on, entering or exiting a bus shoulder lane",250,"Northbound","1316",40
2018-02-28,06:56:00,45.02469,-93.28809,"Vehicle hits bus standing in zone (except #11)",22,NA,"1709",NA
2018-03-09,20:18:00,45.01512,-93.23716,"Vehicle hits bus standing in zone (except #11)",4,"Southbound","1503",6
2017-12-05,10:12:00,44.97666,-93.27174,"End to end except in loading zones",5,"Westbound","1765",NA
2017-02-01,06:21:00,44.9469639,-93.6477729,"With fixed objects",677,"Eastbound","3424",0
2017-05-11,08:22:00,44.9740288,-93.1854438,"With fixed objects",3,NA,"3316",NA
2016-05-12,13:25:00,45.0340151,-93.2471428,"With fixed objects",10,"Northbound","7344",20
2018-04-29,13:14:00,44.97325,-93.2753,"Falls boarding",18,NA,"7205",0
2017-09-20,16:14:00,45.05971,-93.31784,"Passenger falls or injuries on/near lift",19,NA,"1635",1
2018-04-01,13:50:00,44.99053,-93.25182,"Falls, bumps, etc. - bus starting",10,"Northbound","7207",NA
2017-04-22,15:06:00,44.9841689,-93.2864378,"Falls, bumps, etc. - bus starting",19,NA,"1516",30
2017-12-01,16:50:00,45.03339,-93.29584,"Falls, bumps, etc. - bus stopping",5,"Southbound","1305",NA
2018-02-05,08:17:00,44.97689,-93.27179,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",134,"Westbound","1411",4
2017-11-14,17:50:00,44.99946,-93.30166,"All other collisions by bus and vehicle between intersections",14,"Northbound","1408",10
2017-09-09,22:10:00,44.9772293,-93.2636491,"Falls boarding",14,"Northbound","1255",4
2017-05-11,15:38:00,44.9493778,-93.2626871,"Passenger falls or injuries on/near lift",5,"Southbound","1254",NA
2018-03-03,05:45:00,44.97839,-93.2753,"Falls alighting - front door",5,"Northbound","3357",10
2018-03-01,13:48:00,44.97553,-93.2692,"Limited Mobility device tips, securement issue, seat belt issue, or occupants fall ",5,"Northbound","1220",NA
2017-06-26,13:25:00,44.9269884,-93.1276719,"Falls, bumps, etc. - bus turning at curves or corners",54,NA,"1273",NA
2017-04-21,11:02:00,44.974816,-93.2646965,"Falls, bumps, etc. - bus turning at curves or corners",14,"Northbound","1434",10
2017-12-09,18:50:00,44.92617,-93.16696,"Vehicle turns right in front of bus (includes bus standing/leaving nearside zone)",84,"Northbound","7300",6
2017-09-23,11:40:00,44.94962,-93.01829,"Falls, bumps, etc. - bus starting",63,NA,"7145",0
2017-12-23,11:27:00,44.97844,-93.2743,"Falls, bumps, etc. - bus starting",61,NA,"1295",3
2017-10-27,08:59:00,44.97916,-93.26829,"Falls, bumps, etc. - bus stopping",3,"Westbound","3338",3
2017-06-28,23:35:00,44.8915991,-93.078024,"Falls, bumps, etc. - bus stopping",68,"Southbound","1200",NA
2017-06-08,21:46:00,44.9629857,-93.0608433,"On board accidents not otherwise classified",74,NA,"1778",12
2016-12-29,05:56:00,45.0728989,-93.3310462,"Falls boarding",760,"Terminal","3211",NA
2017-12-06,07:57:00,44.95188,-93.03096,"Collision on, entering or exiting a bus shoulder lane",375,"Westbound","3330",NA
2017-12-06,07:57:00,44.95196,-93.03152,"Collision on, entering or exiting a bus shoulder lane",375,"Westbound","3330",NA
2017-01-18,15:14:00,44.9964836,-93.2640027,"Straight across - other vehicle from left",11,"Northbound","7225",NA
2017-06-14,19:12:00,44.9484036,-93.2861307,"Vehicle hits bus standing in zone (except #11)",21,"Westbound","1560",8
2017-12-19,09:28:00,44.93337,-93.27013,"Falls boarding",11,"Northbound","7229",4
2017-03-15,17:00:00,44.9501267,-93.2982913,"Falls boarding",17,"Westbound","7163",NA
2017-12-26,15:21:00,44.94541,-93.10003,"Falls, bumps, etc. - bus starting",21,"Eastbound","1727",5
2018-02-07,18:11:00,44.93458,-93.22954,"Falls, bumps, etc. - bus starting",23,"Westbound","1447",25
2017-08-23,08:59:00,44.9235976,-93.2779158,"Falls, bumps, etc. - bus stopping",18,"Northbound","7327",15
2017-05-31,12:37:00,44.9322477,-93.3438449,"Falls, bumps, etc. - bus stopping",12,"Westbound","1561",8
2018-02-21,19:45:00,44.95447,-93.41118,"Falls, bumps, etc. - bus stopping",9,"Eastbound","1716",1
2017-07-29,19:20:00,44.9556007,-93.1570463,"Falls, bumps, etc. - bus stopping",21,"Eastbound","1658",NA
2018-02-02,13:12:00,44.97607,-93.2811,"Collision - other vehicle cutting into bus (except #11)",785,"Northbound","60086",NA
2016-12-03,18:15:00,45.0553382,-93.3809131,"All other collisions by bus and vehicle between intersections",721,"Northbound","1550",2
2016-12-03,18:15:00,45.0553386,-93.3809108,"All other collisions by bus and vehicle between intersections",721,"Northbound","1550",2
2018-02-07,15:39:00,44.9728198,-93.2783226,"Vehicle hit bus (except #28) (includes vehicle backing or rolling back)",250,"Northbound","3208",NA
2017-03-21,19:57:00,44.9554076,-93.2473204,"Vehicle hits bus standing in zone (except #11)",22,"Northbound","1124",NA
2017-06-08,17:13:00,45.080918,-93.3306971,"With fixed objects",761,"Northbound","1543",5
2017-04-19,19:51:00,44.9844532,-93.2839095,"Falls boarding",19,"Northbound","1113",25
2016-12-29,20:24:00,45.0058394,-93.2940758,"Falls boarding",5,"Northbound","1646",NA
2017-07-22,16:21:00,45.0075402,-93.2942735,"Falls, bumps, etc. - bus stopping",5,"Northbound","3425",NA
2017-04-01,17:30:00,44.9918837,-93.2942291,"Falls, bumps, etc. - bus running straight",5,"Northbound","3433",NA
2018-05-04,10:14:00,45.01323,-93.30937,"Right turn - other vehicle from left",19,"Eastbound","1793",8
2017-09-29,11:13:00,44.93467,-93.23002,"Left turn - other vehicle from left",14,"Northbound","1417",1
2018-03-02,08:35:00,45.1103,-93.21856,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",25,"Northbound","1759",5
2017-10-04,07:54:00,45.06422,-93.18664,"Collision on, entering or exiting a bus shoulder lane",250,"Southbound","1134",30
2016-12-15,06:47:00,44.9719833,-93.274478,"All other collisions by bus and vehicle between intersections",5,"Southbound","7215",0
2016-09-01,07:27:00,44.9737652,-93.3957835,"Bus hits vehicle (includes bus backing or rolling back, except #46)",673,"Eastbound","3328",75
2017-10-17,16:21:00,44.97347,-93.26411,"Vehicle hit bus (except #28) (includes vehicle backing or rolling back)",250,"Northbound","1312",NA
2017-05-21,02:22:00,45.0051238,-93.2941018,"Vehicle hit bus (except #28) (includes vehicle backing or rolling back)",5,"Northbound","1767",13
2016-09-08,07:50:00,44.9866591,-93.2303935,"Bus pulling into zone hits standing vehicle",3,"Southbound","3254",50
2017-09-15,05:59:00,44.9848428,-93.2827745,"With fixed objects",758,NA,"3312",0
2018-03-07,16:44:00,45.02777,-93.22291,"With fixed objects",25,"Southbound","7170",1
2017-02-17,16:18:00,44.9198414,-93.2626433,"With fixed objects",5,"Southbound","1508",18
2018-04-17,14:09:00,44.96078,-93.2625,"Passenger falls or injuries on/near lift",5,"Northbound","7166",20
2018-02-27,05:41:00,44.97608,-93.27293,"Falls alighting - front door",10,"Southbound","7168",1
2017-09-27,17:30:00,44.95885,-93.24723,"Falls, bumps, etc. - bus stopping",22,"Northbound","1305",7
2018-02-09,18:12:00,45.00971,-93.30811,"Falls, bumps, etc. - bus stopping",19,"Northbound","1760",8
2016-10-03,08:59:00,44.9724425,-93.2861827,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",4,"Southbound","1673",5
2017-09-01,11:00:00,44.9665511,-93.2885251,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",6,"Southbound","1704",20
2017-06-10,14:48:00,44.9752085,-93.2698113,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",22,"Southbound","1248",10
2016-10-03,16:40:00,44.9652333,-93.269958,"Collision on, entering or exiting a bus shoulder lane",535,"Southbound","3361",50
2016-12-20,10:40:00,44.8262183,-93.296502,"Bus hits vehicle (includes bus backing or rolling back, except #46)",5,"Eastbound","1436",1
2018-05-03,16:47:00,44.90092,-93.28825,"Vehicle hit bus (except #28) (includes vehicle backing or rolling back)",4,"Northbound","1275",NA
2016-07-26,18:07:00,44.9760103,-93.2691212,"Bus pulling into zone hits standing vehicle",597,"Northbound","1671",3
2017-01-11,15:26:00,44.8812159,-93.2056228,"Bus pulling away from zone hits or is hit by moving vehicle (except #11)",54,"Westbound","1223",30
2017-03-18,18:26:00,44.8812685,-93.3221809,"Struck by doors - boarding",6,"Northbound","1750",NA
2017-10-04,08:00:00,44.95183,-93.25244,"Falls, bumps, etc. - bus stopping",14,"Northbound","1270",12
2017-08-28,15:46:00,44.9492512,-93.2620328,"Falls, bumps, etc. - bus running straight",5,"Southbound","1221",5
2017-11-07,17:40:00,44.96726,-93.26995,"All other collisions by bus and vehicle between intersections",578,"Eastbound","3367",50
2016-11-08,17:00:00,45.0573922,-93.1872459,"Collision on, entering or exiting a bus shoulder lane",252,"Northbound","3425",43
2017-11-27,12:24:00,44.97251,-93.26171,"Falls, bumps, etc. - bus stopping",94,"Westbound","3422",20
2017-12-02,18:45:00,44.95042,-93.2973,"At terminals (except #46)",21,"Terminal","1208",NA
2018-02-12,15:01:00,44.96273,-93.23633,"Vehicle hits bus standing in zone (except #11)",2,"Northbound","1565",7
2017-11-10,15:32:00,44.94844,-93.29821,"Vehicle hits bus standing in zone (except #11)",12,"Northbound","1245",NA
2016-06-17,16:12:00,45.0356034,-93.231815,"Right mirror - glass breakage only",4,"Northbound","1178",0
2017-12-02,18:46:00,44.94997,-93.29778,"End to end in loading zone (except #46)",21,"Terminal","1573",NA
2018-04-02,10:36:00,44.9653622,-93.2779181,"Falls, bumps, etc. - bus starting",18,"Southbound","7114",12
2017-08-10,06:31:00,44.8982912,-93.4218357,"Falls, bumps, etc. - bus turning at curves or corners",12,"Westbound","1559",1
2017-10-02,14:34:00,44.96271,-93.25132,"Falls, bumps, etc. - bus running straight",2,"Eastbound","1562",8
2017-07-19,19:53:00,44.9245533,-93.2779175,"Falls, bumps, etc. - bus running straight",18,"Northbound","7228",NA
2017-07-26,14:55:00,44.9879608,-93.277254,"Bus hits vehicle (includes bus backing or rolling back, except #46)",766,"Northbound","3209",NA
2017-03-17,11:40:00,45.0476676,-93.3207203,"Bus hits vehicle (includes bus backing or rolling back, except #46)",22,"Northbound","1113",5
2018-02-19,21:39:00,45.06685,-93.31904,"Vehicle hit bus (except #28) (includes vehicle backing or rolling back)",724,"Northbound","1641",NA
2016-10-26,18:30:00,44.9841996,-93.2915103,"Bus pulling away from zone hits standing vehicle",5,"Northbound","1654",NA
2016-06-01,10:45:00,44.9711806,-93.2622322,"Falls alighting - rear door (manual)",5,"Westbound","1122",NA
2017-09-29,20:18:00,45.08287,-93.34004,"Falls, bumps, etc. - bus starting",723,"Southbound","1514",17
2016-11-30,17:23:00,44.9730277,-93.2667329,"Falls, bumps, etc. - bus stopping",5,"Southbound","1654",15
2017-06-25,18:38:00,44.934839,-93.2297472,"Incidents not otherwise classified",22,"Southbound","1122",6
2016-06-15,13:22:00,44.8622543,-93.2707641,"Right turn - other vehicle from left",5,"Northbound","1507",12
2016-06-15,13:22:00,44.8628801,-93.2781281,"Right turn - other vehicle from left",5,"Northbound","1507",12
2017-04-27,08:18:00,44.939781,-93.2473716,"Left turn - other vehicle from ahead",22,"Southbound","1625",6
2018-01-25,13:52:00,44.98441,-93.28398,"Left turn - other vehicle from rear",19,"Northbound","1711",30
2017-12-05,12:09:00,44.98162,-93.27637,"Bus hits vehicle (includes bus backing or rolling back, except #46)",94,"Westbound","3415",6
2017-12-21,13:04:00,44.9559,-93.26264,"Vehicle hits bus standing in zone (except #11)",5,"Northbound","1643",0
2016-06-23,13:42:00,44.9720847,-93.2614983,"At terminals (except #46)",19,"Southbound","1635",NA
2017-12-09,05:53:00,44.97272,-93.26239,"Struck by doors - boarding",5,"Westbound","1516",10
2018-04-03,10:04:00,44.97504,-93.27094,"Falls alighting - front door",19,"Southbound","7200",NA
2017-08-14,12:37:00,44.9497822,-93.2347784,"Falls, bumps, etc. - bus starting",7,"Southbound","1507",5
2017-08-14,12:37:00,44.949261,-93.2348196,"Falls, bumps, etc. - bus starting",7,"Southbound","1507",5
2017-06-29,13:43:00,44.9990792,-93.2473761,"Falls, bumps, etc. - bus running straight",10,"Southbound","1519",12
2017-12-21,14:40:00,44.95024,-93.26264,"Incidents not otherwise classified",5,"Southbound","1765",20
2017-04-20,12:00:00,44.9624779,-93.2878967,"Sideswipe - bus passing other vehicle (moving/standing/double parked)",4,"Northbound","1223",12
2017-04-14,12:15:00,44.9752549,-93.2793642,"Collision - other vehicle cutting into bus (except #11)",4,"Southbound","1225",20
2018-03-23,14:36:00,44.9346,-93.30746,"Vehicle hit bus (except #28) (includes vehicle backing or rolling back)",6,"Southbound","1266",10
2017-10-09,18:35:00,44.9664222,-93.2626247,"Vehicle hits bus standing in zone (except #11)",5,"Southbound","0975",32
2017-10-26,19:32:00,45.05986,-93.31828,"Between intersections",22,"Southbound","1703",7
2017-04-14,10:36:00,44.927029,-93.1765699,"Vehicle hits bus standing in zone (except #11)",74,"Eastbound","1204",9
2017-04-03,17:07:00,44.9516173,-93.0251635,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",63,"Westbound","1528",NA
2016-12-25,07:56:00,44.9291186,-93.2843902,"Straight across - other vehicle from right",18,"Northbound","7163",NA
